ds,yhat,yhat_lower,yhat_upper
2024-07-12,65375.56835841918,56581.40724205407,73332.63749068798
2024-07-13,65604.26981936712,57224.33040161006,73601.30828063283
2024-07-14,65902.91261601138,57737.03204087944,74073.99207715156
2024-07-15,66251.91608779838,58066.7187933485,74266.3537312998
2024-07-16,66352.17773482848,58395.57461163027,74813.6422519744
2024-07-17,66713.86721400077,58977.21916070965,75481.42113450482
2024-07-18,66613.79261679306,58561.00073061304,74449.65917696452
2024-07-19,66611.40877911846,58340.55946011047,75144.52012907124
2024-07-20,66634.61953201565,58354.70095252626,74921.97063736162
2024-07-21,66722.28712721163,59360.34162284818,75808.76181462794
2024-07-22,66859.28180661018,58499.37931274141,74861.62351849317
2024-07-23,66750.73935904997,58010.64881202092,74779.9625509507
2024-07-24,66910.74881630435,58878.39619785222,75536.42658720551
2024-07-25,66619.62394936933,58311.459518427364,74358.76937749874
2024-07-26,66439.83085743796,57947.830206010236,74615.93782786281
2024-07-27,66386.1420942124,57723.325001219935,74270.3168254758
2024-07-28,66414.85005087931,58563.78236653066,74534.77348992623
2024-07-29,66512.03791281018,57858.66014081822,74603.81621234961
2024-07-30,66383.41228670217,58133.46000473489,74521.06877826118
2024-07-31,66543.00172638812,58250.97977237452,74374.8499957991
2024-08-01,66270.45776540585,58128.48579264876,74194.16339309463
2024-08-02,66127.02957443932,58643.170166275486,74427.69612994339
2024-08-03,66041.36457780046,57723.77120156983,73880.24290740133
2024-08-04,66052.04774041966,58363.95626159373,74144.55604137339
2024-08-05,66142.71104605,57737.73473735198,74101.52687021972
2024-08-06,66016.37868532997,57698.88688112434,74675.95033493625
2024-08-07,66184.26697955649,58468.8995553096,74502.97020323432
2024-08-08,65923.18887209891,57853.78401159572,73424.31327823452
2024-08-09,65791.63086635825,57518.2814164776,73868.42622083519
2024-08-10,65715.65156607662,57761.19268010169,74322.47462756277
2024-08-11,65731.51150721863,57998.166332575835,73616.4269484272
2024-08-12,65820.8630261324,57340.22592458549,74697.2457555261
2024-08-13,65685.16323560331,57586.92322684978,74087.15283484763
2024-08-14,65834.52708909812,58262.51713556694,74361.94868180566
2024-08-15,65545.16878129364,57240.26868821065,74035.13704725231
2024-08-16,65375.49828818384,57739.720618369625,73451.48509626949
2024-08-17,65252.021666005894,56617.636454826345,73844.84590093687
2024-08-18,65211.954815562065,57218.65164244924,72815.62495232218
2024-08-19,65238.3800259315,57634.72123906598,73093.93046490227
2024-08-20,65034.60947197733,56822.62511667435,73026.38940491076
2024-08-21,65112.9742476677,57022.45170542469,73050.2322030992
2024-08-22,64752.18923453128,56763.828157912016,73292.05745054487
2024-08-23,64513.36304629754,56707.51144232599,73136.75780221926
2024-08-24,64325.80441876575,56385.88594283391,72089.12943060618
2024-08-25,64229.53772931443,55709.18604350918,72164.91639438084
2024-08-26,64210.360075433564,56048.100219736436,72610.90354168558
2024-08-27,63974.10724448486,55767.888985968864,72577.5721912471
2024-08-28,64035.3502610643,55769.147510304974,72571.94036222079
2024-08-29,63674.67576748814,55502.525497421084,72446.87019721836
2024-08-30,63454.62219646292,54782.34444738083,71578.4537998264
2024-08-31,63305.42550175555,55123.793670260435,71009.88348025685
2024-09-01,63267.4891334532,54878.29604429634,71762.21023287275
2024-09-02,63326.41223312816,54712.261650151,71264.9712760143
2024-09-03,63187.24442288533,54676.83697270117,71326.16514510108
2024-09-04,63363.189379387,54823.225233098034,71498.71335192508
2024-09-05,63132.91039932715,54766.41022838139,71627.9818495874
2024-09-06,63056.50931236078,55082.7124728102,71459.80370858067
